postcode,postcode_space,postcode area,Average_download_speed_Mbit_s,Maximum_download_speed_Mbit_s,Minimum_download_speed_Mbit_s,Average_upload_speed_Mbit_s,Maximum_upload_speed_Mbit_s,Minimum_upload_speed_Mbit_s,Average_data_usage_GB,All Premises,All Matched Premises,lsoa_area,county
BS162EB,BS16 2EB,BS,3.005682604407159,3.2108436531709366,0.26236426446749106,0.7419373447293773,0.8329091229351039,0.3364722366212129,5.730099782973574,3.871201010907891,3.871201010907891,Bristol 013A,"Bristol, City of"
BS162ED,BS16 2ED,BS,2.917770732084279,3.131136910560194,2.2082744135228043,0.6418538861723947,0.7419373447293773,0.3364722366212129,4.948759890378168,1.791759469228055,1.791759469228055,Bristol 013A,"Bristol, City of"
BS162EF,BS16 2EF,BS,3.8199077165203406,4.675628649636653,2.714694743820879,1.7404661748405046,3.044522437723423,0.3364722366212129,5.123963979403259,3.295836866004329,3.295836866004329,Bristol 013A,"Bristol, City of"
BS162EG,BS16 2EG,BS,4.517431271680085,5.303304908059076,2.9069010598473755,2.0412203288596382,3.044522437723423,0.7419373447293773,5.823045895483019,3.4339872044851463,3.4339872044851463,Bristol 013A,"Bristol, City of"
BS162EH,BS16 2EH,BS,3.983413001514819,5.303304908059076,2.856470206220483,1.3862943611198906,2.5649493574615367,0.6931471805599453,6.0014148779611505,2.3978952727983707,2.3978952727983707,Bristol 012A,"Bristol, City of"
BS162EJ,BS16 2EJ,BS,4.343805421853684,5.303304908059076,2.4423470353692043,2.066862759472976,3.044522437723423,0.5877866649021191,5.66988092298052,3.6375861597263857,3.6375861597263857,Bristol 013A,"Bristol, City of"
BS162EL,BS16 2EL,BS,4.457829598089382,5.303304908059076,1.9878743481543455,2.0541237336955462,3.044522437723423,0.47000362924573563,4.919980925828125,3.6635616461296463,3.6635616461296463,Bristol 013A,"Bristol, City of"
BS162EN,BS16 2EN,BS,3.9512437185814275,5.017279836814924,2.028148247292285,2.0014800002101243,3.044522437723423,0.3364722366212129,5.521460917862246,3.258096538021482,3.258096538021482,Bristol 013A,"Bristol, City of"
BS162EQ,BS16 2EQ,BS,4.492001487882454,5.303304908059076,1.667706820558076,1.9459101490553132,2.5649493574615367,0.3364722366212129,6.052089168924417,3.1354942159291497,3.1354942159291497,Bristol 012A,"Bristol, City of"
BS162ER,BS16 2ER,BS,4.421247347827163,5.303304908059076,2.803360380906535,1.8870696490323797,2.5649493574615367,0.6931471805599453,5.652489180268651,2.772588722239781,2.772588722239781,Bristol 013A,"Bristol, City of"
