postcode,postcode_space,postcode area,Average_download_speed_Mbit_s,Maximum_download_speed_Mbit_s,Minimum_download_speed_Mbit_s,Average_upload_speed_Mbit_s,Maximum_upload_speed_Mbit_s,Minimum_upload_speed_Mbit_s,Average_data_usage_GB,All Premises,All Matched Premises,lsoa_area,county
PL267EW,PL26 7EW,PL,4.2017030805426,5.797879798035317,1.1939224684724346,2.785011242238338,3.929862923556477,0.3364722366212129,4.8283137373023015,3.4011973816621555,3.4011973816621555,Cornwall 041F,Cornwall
PL267EX,PL26 7EX,PL,3.6109179126442243,4.023564380161053,0.7884573603642703,2.151762203259462,2.5494451709255714,0.3364722366212129,4.867534450455582,3.044522437723423,3.044522437723423,Cornwall 041F,Cornwall
PL267EZ,PL26 7EZ,PL,2.791165107812717,3.676300671907076,0.6418538861723947,1.6094379124341003,2.163323025660538,0.3364722366212129,5.817111159963204,2.4849066497880004,2.4849066497880004,Cornwall 024C,Cornwall
PL267FA,PL26 7FA,PL,3.4111477125153233,4.021773869387265,2.667228206581955,1.6486586255873816,2.3978952727983707,0.7884573603642703,6.295266001439646,1.9459101490553132,1.9459101490553132,Cornwall 030B,Cornwall
PL267HA,PL26 7HA,PL,3.9908341858524357,4.394449154672439,0.9555114450274363,2.681021528714291,3.044522437723423,0.3364722366212129,4.804021044733257,3.6375861597263857,3.6375861597263857,Cornwall 041F,Cornwall
PL267HB,PL26 7HB,PL,3.720862499966987,4.275276264727001,0.9162907318741551,2.3513752571634776,3.044522437723423,0.3364722366212129,4.718498871295094,3.295836866004329,3.295836866004329,Cornwall 041D,Cornwall
PL267HE,PL26 7HE,PL,3.879499813722586,4.393213824064446,3.6428355156125294,2.501435951739211,3.044522437723423,1.9315214116032138,5.736572297479192,2.1972245773362196,2.1972245773362196,Cornwall 041D,Cornwall
PL267HF,PL26 7HF,PL,3.349904087274605,3.713572066704308,1.5686159179138452,2.0794415416798357,2.3978952727983707,0.5877866649021191,5.846438775057725,2.0794415416798357,2.0794415416798357,Cornwall 041D,Cornwall
PL267HG,PL26 7HG,PL,3.648057459593681,4.393213824064446,0.4054651081081644,2.341805806147327,3.044522437723423,0.26236426446749106,4.844187086458591,4.007333185232471,4.007333185232471,Cornwall 041D,Cornwall
PL267HH,PL26 7HH,PL,3.6454498961866,4.21803603456465,0.6931471805599453,2.3702437414678603,3.044522437723423,0.26236426446749106,5.62040086571715,2.302585092994046,2.302585092994046,Cornwall 041F,Cornwall
PL267HQ,PL26 7HQ,PL,3.8066624897703196,4.28496492183075,1.2237754316221157,2.4849066497880004,3.044522437723423,0.4054651081081644,5.0369526024136295,2.6390573296152584,2.6390573296152584,Cornwall 041D,Cornwall
PL267JA,PL26 7JA,PL,3.9259259105971376,4.393213824064446,1.3609765531356006,2.624668592163159,3.044522437723423,0.5877866649021191,5.247024072160486,2.833213344056216,2.833213344056216,Cornwall 041F,Cornwall
PL267JD,PL26 7JD,PL,3.0587070727153796,3.735285826928092,0.47000362924573563,1.589235205116581,2.2082744135228043,0.3364722366212129,4.04305126783455,4.204692619390966,4.204692619390966,Cornwall 041F,Cornwall
PL267JF,PL26 7JF,PL,3.8501476017100584,4.393213824064446,0.47000362924573563,2.5726122302071057,3.044522437723423,0.3364722366212129,4.844187086458591,3.5553480614894135,3.5553480614894135,Cornwall 041F,Cornwall
